Year,KenPom Rank,Team,CONF,Seed Number,AdjEM,AdjO,AdjD,AdjT,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,POSTSEASON
2013,62,Akron ,MAC,12,11.52,106.8,95.2,65.2,-0.35,102.4,102.7,0.28,64
2013,150,Albany ,AE,15,1.36,102.6,101.3,61.7,-5.19,98.6,103.8,-6.61,64
2013,14,Arizona ,P12,6,21.88,115.4,93.5,65.5,7.99,106.4,98.5,1.45,16
2013,43,Belmont ,OVC,11,14.92,111.6,96.6,65.9,-0.74,103.8,104.6,1.45,64
2013,54,Boise St. ,MWC,13,13.54,113.2,99.7,64.8,6.74,105.9,99.2,5.39,68
2013,58,Bucknell ,Pat,11,12.72,107.3,94.6,61.9,-1.72,102.4,104.1,-1.38,64
2013,42,Butler ,A10,6,15.41,110.5,95.1,63.6,7.53,106.8,99.3,2.78,32
2013,56,California ,P12,12,13.11,107.3,94.2,64.9,8.35,106,97.6,4.18,32
2013,40,Cincinnati ,BE,10,15.57,105.9,90.4,63,7.31,105.6,98.3,2.12,64
2013,45,Colorado ,P12,10,14.62,106.5,91.9,63.7,9.15,107.3,98.1,-5.68,64
2013,22,Colorado St. ,MWC,8,19.12,117.9,98.8,63.8,7.17,105.8,98.6,3.8,32
2013,15,Creighton ,MVC,7,21.75,118.3,96.5,63.8,5.73,105.5,99.7,-0.49,32
2013,66,Davidson ,SC,14,11.36,112.1,100.7,63.9,-5.09,100.3,105.4,1.63,64
2013,6,Duke ,ACC,2,26.98,119.1,92.1,66.7,9.95,108.4,98.5,6.42,8
2013,2,Florida ,SEC,3,31.18,117.2,86,61.9,7,105.6,98.6,6.85,8
2013,105,Florida Gulf Coast ,ASun,15,6.27,104.9,98.6,67.9,-2.79,101.3,104.1,4.09,16
2013,16,Georgetown ,BE,2,21.24,107.6,86.4,61.2,7.42,106.3,98.9,4.57,64
2013,5,Gonzaga ,WCC,1,27.81,120.5,92.7,63.3,4.37,105.4,101,-6.15,32
2013,93,Harvard ,Ivy,14,7.07,108.1,101.1,63.3,0.6,102.8,102.2,5.03,32
2013,39,Illinois ,B10,7,15.82,110.6,94.8,64.6,10.84,108.1,97.3,-0.8,32
2013,3,Indiana ,B10,1,29.31,120.8,91.5,66,8.86,106.7,97.8,-5.16,16
2013,89,Iona ,MAAC,15,7.45,114.4,106.9,69.7,0.94,102.4,101.4,4.09,64
2013,30,Iowa St. ,B12,10,17.63,117.5,99.8,68.3,6.74,105.5,98.7,-9.03,32
2013,182,James Madison ,CAA,16,-0.92,100.2,101.1,62.9,-3.42,101.9,105.3,-3.12,64
